1	1483
401	1575
801	1572
1201	1794
1601	1910
2001	1814
2401	1830
2801	2239
3201	2018
3601	2487
4001	2587
4401	2143
4801	2818
5201	2270
5601	2438
6001	3160
6401	3270
6801	2663
7201	3499
7601	3678
8001	2693
8401	3843
8801	3948
9201	3078
9601	4175
10001	4281
10401	3303
10801	3140
11201	4630
11601	3236
12001	4858
12401	4961
12801	3711
13201	5190
13601	3564
14001	3918
14401	5530
14801	5637
15201	3767
15601	5864
16001	5973
16401	3998
16801	6208
17201	6321
17601	4558
18001	6536
18401	6653
18801	4319
19201	4447
19601	6992
