100000	9031
200000	13663
300000	18407
400000	21539
500000	32048
600000	35436
700000	42660
800000	47723
900000	53046
1000000	59845
1100000	59750
1200000	73757
1300000	77184
1400000	81692
1500000	85891
1600000	92537
1700000	96495
1800000	108402
1900000	102604
2000000	109109
2100000	113967
2200000	113560
2300000	125145
2400000	133418
2500000	138589
2600000	139415
2700000	148705
2800000	148417
2900000	146902
3000000	152266
3100000	158999
3200000	167074
3300000	162801
3400000	174779
3500000	168859
3600000	179783
3700000	185930
3800000	186568
3900000	186604
4000000	191486
4100000	196755
4200000	201485
4300000	200005
4400000	214271
4500000	216174
4600000	221646
4700000	235668
4800000	250863
4900000	250607
5000000	268636
5100000	272495
5200000	281842
5300000	278436
5400000	291923
5500000	289333
5600000	267875
5700000	267605
5800000	270973
5900000	295123
6000000	290890
6100000	294314
6200000	306048
6300000	320510
6400000	314669
6500000	321601
6600000	323082
6700000	311813
6800000	304105
6900000	319963
7000000	326720
7100000	324430
7200000	320997
7300000	324501
7400000	331959
7500000	335400
7600000	351007
7700000	354796
7800000	355456
7900000	360136
8000000	361309
8100000	367472
8200000	368650
8300000	384804
8400000	370510
8500000	371425
8600000	381612
8700000	383382
8800000	392517
8900000	390972
9000000	391474
9100000	392752
9200000	392977
9300000	399103
9400000	405594
9500000	413993
9600000	424571
9700000	433651
