100000	1338
200000	2335
300000	3314
400000	4911
500000	6813
600000	7895
700000	9237
800000	11289
900000	12968
1000000	14218
1100000	15465
1200000	17053
1300000	19237
1400000	20449
1500000	21276
1600000	23192
1700000	24734
1800000	25683
1900000	27391
2000000	27776
2100000	30607
2200000	31833
2300000	33005
2400000	32698
2500000	33504
2600000	35501
2700000	36145
2800000	37328
2900000	38897
3000000	40113
3100000	42465
3200000	42521
3300000	43990
3400000	45719
3500000	47294
3600000	47999
3700000	49164
3800000	50881
3900000	51750
4000000	53267
4100000	55151
4200000	54552
4300000	53168
4400000	54515
4500000	55526
4600000	57647
4700000	60746
4800000	59167
4900000	64593
5000000	63441
5100000	64722
5200000	66443
5300000	69401
5400000	70222
5500000	71060
5600000	68953
5700000	70037
5800000	74109
5900000	72098
6000000	74468
6100000	75160
6200000	76627
6300000	76924
6400000	78505
6500000	79523
6600000	81120
6700000	81603
6800000	83091
6900000	85579
7000000	85680
7100000	87785
7200000	88320
7300000	89707
7400000	91574
7500000	92669
7600000	93038
7700000	97082
7800000	100108
7900000	97290
8000000	98095
8100000	99072
8200000	100105
8300000	100615
8400000	104202
8500000	105483
8600000	106596
8700000	106776
8800000	111804
8900000	111590
9000000	113146
9100000	113216
9200000	113024
9300000	113437
9400000	116885
9500000	116524
9600000	117683
9700000	118584
9800000	119116
9900000	122105
10000000	122127
